"col_0","col_1","col_2","col_3","col_4"
"DRS012866","plant","""southern Japan; Malaysia; northern Australia""","{fungal endophytes,  tropical forest canopies,  Endophytic fungal community,  tree leaves,  tropical and sub tropical forests,  Leaf samples, }","tropical tree leaves"
"DRS102542","other","""36.566667 N 137.605833 E , Toyama, Japan; Mt. Jodo, Japan""","{aerosol,  Airborne microbial communities,  high-altitude site,   suburban site,  bioprospecting,  bacteria,  fungi}","air hgh-altitude, suburban"
"ERS1025259","plant","""Rocky Mountains (44.182/-113.739383), USA ""","{mountain,  meadow,  soil,  bacteria,  field experiment,  Boechera stricta,  plant-associated,  root}","roots Boechera stricta"
"ERS1202182","soil","""(52.37/1.1), UK""","{soil,  rhizosphere communities,  wheat,  Synthetic Hybrid Wheat lines (SHW),  Aegilops tauschii,  Triticum durum,  AM fungi (Glomeromycota)}","temperate grassland soil"
"ERS1566990","soil","""(45.251291/0.072936), France""","{soil microbial diversity,  CO2 emission,  carbon source recalcitrance,  C-cycling}","gamma-irradiated soil "
"ERS171959","other","""Boulder, Co, USA""","{soap dispenser,  restroom,  female restroom,  public restroom surfaces,  Lactobacillaceae,  swab,  Ekeley building,  }","female restroom surfaces"
"ERS1800068","soil","""Lubin Mine WBS (GPS+), Poland""","{bacterial communities diversity,  village biome,  mine,  shale,  Kupferschiefer black shale,  deep subterrestrial bioweathering,  fossil organic matter,  organic carbon redistribution}","shale sediment"
"ERS1837959","soil","""Aurora, NY, USA""","{soil metagenome,  Maize root microbiota,  cropland biome,  bulk soil,  }","bulk soil"
"ERS1855508","water","""Helgoland (GPS+) North Sea""","{neritic epipelagic zone biome,  mesocosm,  coastal sea water,  biofilms,  synthetic polymers }","coastal sea water"
"ERS1911029","soil","""South Patagonia, Pali Aike volcanic field, (GPS+), Argentina""","{bacteria,  archaea,  freshwater lake biome,  lake sediment,  Laguna Potrok Aike,  maar lake,  lacustrine sediment}","drill core sediment"
"ERS1914882","other","""(GPS+) Germany""","{anoxic,  mesophilic,  hydraulic retention time (HRT),  anaerobic digester microbiome,  miscellaneous natural,  artificial environment}","digestate biogas reactor"
"ERS1937442","water","""Outokumpu Deep Drill Hole (GPS+), Finland""","{fracture fluid,  groundwater,  water,  fungus,  Finland,  deep bedrock,  subsurface }","bedrock fracture fluid"
"ERS2038711","other","""Centre of Biological Engineering (CEB), UMINHO""","{bioreactor sludge metagenome,  zeolites,  bio-hydrogen production}","bioreactor sludge "
"ERS2070343","soil","""Hubbard Brook Experimental Forest (HBEF), New Hampshire, USA""","{forest,  soil,  forest soil ,  soil denitrification,  wollastonite treatment,  elevations,  soil depth,  watersheds }","treated, combined soil"
"ERS2181297","other","""TEAGASC FOOD RESEARCH CENTRE, City NA Country NA""","{spore-forming bacteria,  whey,  food metagenome,  food,  May,  dairy industry,  Spore-formers,  Whey Powders}","rehydrated dairy powder"
"ERS2185552","other","""(GPS+), UK""","{temperate woodland biome,  competitive fungi,  bacterial colonoization,   }","fungus-colonised wood discs"
"ERS2214138","plant","""nan""","{Anthoxanthum odoratum R,  rhizosphere microbiota,   root exudation,  root adhering soil,  root tissue}","Anthoxanthum odoratum root"
"ERS2221387","water","""Thuringia (GPS+), Germany""","{AquaDiva,  Hainich Critical Zone Exploratory,  bacterial diversity,  groundwater,  soil,  seepage,  22.5 m}","limestone aquifers groundwater"
