"category","text"
"soil","Deconstructing the Soil Microbiome into Reduced-Complexity Functional Modules"
"soil","The influence of Bt cotton cultivation on the structure and functions of the soil bacterial community by soil metagenomics"
"soil","Unboxing the black box-one step forward to understand the soil microbiome: A systematic review"
"soil","Targeted metagenomics reveals inferior resilience of farm soil resistome compared to soil microbiome after manure application"
"soil","Data on the temporal changes in soil properties and microbiome composition after a jet-fuel contamination during the pot and field experiments"
"soil","Manure Microbial Communities and Resistance Profiles Reconfigure after Transition to Manure Pits and Differ from Those in Fertilized Field Soil"
"soil","Metagenomic analysis of the rhizosphere soil microbiome with respect to phytic acid utilization"
"soil","The Influence of Kerosene on Microbiomes of Diverse Soils"
"soil","Effect of Long-Term Farming Practices on Agricultural Soil Microbiome Members Represented by Metagenomically Assembled Genomes (MAGs) and Their Predicted Plant-Beneficial Genes"
"soil","Metagenomic analysis of rhizosphere microbiome provides insights into occurrence of iron deficiency chlorosis in field of Asian pears"
"soil","Soil microbiome dataset from Guanica dry forest in Puerto Rico generated by shotgun sequencing"
"soil","Water management impacts rice methylmercury and the soil microbiome"
"soil","From Microscopy to Genomic Approach in Soil Biodiversity Assessment"
"water","Microbiome Analysis for Wastewater Surveillance during COVID-19"
"water","Metagenomics Insights Into the Microbial Diversity and Microbiome Network Analysis on the Heterogeneity of Influent to Effluent Water"
"water","Characterization of the Microbiome at the World's Largest Potable Water Reuse Facility"
"water","Metagenomics of wastewater phageome identifies an extensively cored antibiotic resistome in a swine feedlot water treatment environment"
"water","The Water Microbiome Through a Pilot Scale Advanced Treatment Facility for Direct Potable Reuse"
"water","Qualitative microbiome profiling along a wastewater system in Kampala, Uganda"
"water","Metagenomics Reveals the Impact of Wastewater Treatment Plants on the Dispersal of Microorganisms and Genes in Aquatic Sediments"
"water","Microeukaryotic gut parasites in wastewater treatment plants: diversity, activity, and removal"
"water","Impact of sulfamethoxazole on a riverine microbiome"
"water","Taxonomic and Functional Shifts in the Sprout Spent Irrigation Water Microbiome in Response to Salmonella Contamination of Alfalfa Seeds"
"water","Sediment metagenomics reveals the impacts of poultry industry wastewater on antibiotic resistance and nitrogen cycling genes in tidal creek ecosystems"
"water","Extra benefit of microalgae in raw piggery wastewater treatment: pathogen reduction"
"water","Urbanization and Waterborne Pathogen Emergence in Low-Income Countries: Where and How to Conduct Surveys?"
"water","Demonstrating a Comprehensive Wastewater-Based Surveillance Approach That Differentiates Globally Sourced Resistomes"
"water","Metagenomic Insight into Microbiome and Antibiotic Resistance Genes of High Clinical Concern in Urban and Rural Hospital Wastewater of Northern India Origin: a Major Reservoir of Antimicrobial Resistance"
"water","Revealing antimicrobial resistance in stormwater with MinION"
"water","Hormetic effect of 17α-ethynylestradiol on activated sludge microbial community response"
"water","Mobilome-driven segregation of the resistome in biological wastewater treatment"
"plant","Establishing Causality: Opportunities of Synthetic Communities for Plant Microbiome Research"
"plant","Plant developmental stage drives the differentiation in ecological role of the maize microbiome"
"plant","Bacteriophages Roam the Wheat Phyllosphere"
"plant","Deciphering core-microbiome of rice leaf endosphere: Revelation by metagenomic and microbiological analysis of aromatic and non-aromatic genotypes grown in three geographical zones"
"plant","Soil origin and plant genotype structure distinct microbiome compartments in the model legume Medicago truncatula"
"plant","Endophytic Bacterial Microbiome Diversity in Early Developmental Stage Plant Tissues of Wheat Varieties"
"plant","Metagenomics Analysis of the Wheat Virome Identifies Novel Plant and Fungal-Associated Viral Sequences"
"plant","The phyllosphere microbiome shifts toward combating melanose pathogen"
"plant","Plant Microbiome and Its Link to Plant Health: Host Species, Organs and Pseudomonas syringae pv. actinidiae Infection Shaping Bacterial Phyllosphere Communities of Kiwifruit Plants"
"plant","Maize rhizosphere modulates the microbiome diversity and community structure to enhance plant health"
"plant","Two Decades of Desiccation Biology: A Systematic Review of the Best Studied Angiosperm Resurrection Plants"
"plant","Revealing Cues for Fungal Interplay in the Plant-Air Interface in Vineyards"
"plant","Characterization of the core microbiome in tobacco leaves during aging"
"plant","Quercus ilex Phyllosphere Microbiome Environmental-Driven Structure and Composition Shifts in a Mediterranean Contex"
"animal","Diet rapidly and reproducibly alters the human gut microbiome"
"animal","The Gastrointestinal Microbiome: A Review"
"animal","Linking long-term dietary patterns with gut microbial enterotypes"
"animal","Organoids and organs-on-chips: Insights into human gut-microbe interactions"
"animal","The food-gut axis: lactic acid bacteria and their link to food, the gut microbiome and human health"
"animal","The gut microbiome and epilepsy"
"animal","Mediterranean diet intervention in overweight and obese subjects lowers plasma cholesterol and causes changes in the gut microbiome and metabolome independently of energy intake"
"animal","The human gut microbiome in early-onset type 1 diabetes from the TEDDY study"
"animal","Methods in Lung Microbiome Research"
"animal","Intestinal Lactobacillus in health and disease, a driver or just along for the ride?"
"animal","The gut microbiome as a target for prevention and treatment of hyperglycaemia in type 2 diabetes: from current human evidence to future possibilities"
"animal","Dysbiosis-Induced Secondary Bile Acid Deficiency Promotes Intestinal Inflammation"
"animal","Reuterin in the healthy gut microbiome suppresses colorectal cancer growth through altering redox balance"
"animal","Long-term dietary patterns are associated with pro-inflammatory and anti-inflammatory features of the gut microbiome"
"animal","Microbiota modulate behavioral and physiological abnormalities associated with neurodevelopmental disorders"
"animal","Metagenome-wide association of gut microbiome features for schizophrenia"
"animal","The Microbiome in Cystic Fibrosis Pulmonary Disease"
"animal","Can Gut Microbiota Affect Dry Eye Syndrome?"
"animal","The role of the microbiome in cancer development and therapy"
"animal","Obesity Impairs Short-Term and Working Memory through Gut Microbial Metabolism of Aromatic Amino Acids"
"soil","Grapevine rootstock and soil microbiome interactions: Keys for a resilient viticulture"
"soil","Land Use and Seasonal Effects on the Soil Microbiome of a Brazilian Dry Forest"
"water","New insight into the microbiome, resistome, and mobilome on the dental waste water in the context of heavy metal environment"
"plant","Seasonal activities of the phyllosphere microbiome of perennial crops"
"animal","Complex interactions between the microbiome and cancer immune therapy"
"soil","Raman-Deuterium Isotope Probing and Metagenomics Reveal the Drought Tolerance of the Soil Microbiome and Its Promotion of Plant Growth"
"soil","Genome-Resolved Metagenomics Reveals Distinct Phosphorus Acquisition Strategies between Soil Microbiomes"
"soil","Variation in Root Exudate Composition Influences Soil Microbiome Membership and Function"
"soil","Gentamicin Adsorption onto Soil Particles Prevents Overall Short-Term Effects on the Soil Microbiome and Resistome"
"soil","Leveraging microbiome rediversification for the ecological rescue of soil function"
"soil","Metagenomics-Guided Discovery of Potential Bacterial Metallothionein Genes from the Soil Microbiome That Confer Cu and/or Cd Resistance"
"soil","Soil Rehabilitation Promotes Resilient Microbiome with Enriched Keystone Taxa than Agricultural Infestation in Barren Soils on the Loess Plateau"
"soil","Metagenomes and Metatranscriptomes of a Glucose-Amended Agricultural Soil"
"soil","The occurrence of potato common scab correlates with the community composition and function of the geocaulosphere soil microbiome"
"soil","Diverse Viruses Carrying Genes for Microbial Extremotolerance in the Atacama Desert Hyperarid Soil"
"soil","Reconstructing rare soil microbial genomes using in situ enrichments and metagenomics"
"soil","Climatic Zone and Soil Properties Determine the Biodiversity of the Soil Bacterial Communities Associated to Native Plants from Desert Areas of North-Central Algeria"
"soil","Microbial Hotspots in Lithic Microhabitats Inferred from DNA Fractionation and Metagenomics in the Atacama Desert"
"soil","Spatial Physiochemical and Metagenomic Analysis of Desert Environment"
"soil","Metagenomics Reveal Correlations Between Microbial Organisms in Soils and the Health of Populus euphratica"
"soil","Life-history strategies of soil microbial communities in an arid ecosystem"
"soil","Abiotic factors shape microbial diversity in Sonoran Desert soils"
"soil","Metagenomic sequence of saline desert microbiota from wild ass sanctuary, Little Rann of Kutch, Gujarat, India"
"soil","Global Ramifications of Dust and Sandstorm Microbiota"
"soil","Atmospheric chemosynthesis is phylogenetically and geographically widespread and contributes significantly to carbon fixation throughout cold deserts"
"soil","Leave no stone unturned: individually adapted xerotolerant Thaumarchaeota sheltered below the boulders of the Atacama Desert hyperarid core"
"soil","Adaptation to Environmental Extremes Structures Functional Traits in Biological Soil Crust and Hypolithic Microbial Communities"
"water","The microbiome of the Black Sea water column analyzed by shotgun and genome centric metagenomics"
"water","Epipelagic microbiome of the Small Aral Sea: Metagenomic structure and ecological diversity"
"water","Ocean plankton. Structure and function of the global ocean microbiome"
"water","In situ development of a methanotrophic microbiome in deep-sea sediments"
"water","Library Construction from Subnanogram DNA for Pelagic Sea Water and Deep-Sea Sediments"
"water","Why the ocean virome matters"
"water","Distributional Pattern of Bacteria, Protists, and Diatoms in Ocean according to Water Depth in the Northern South China Sea"
"water","Microbial community analysis of the hypersaline water of the Dead Sea using high-throughput amplicon sequencing"
"water","Sulfate-dependant microbially induced corrosion of mild steel in the deep sea: a 10-year microbiome study"
"water","Climate oscillations reflected within the microbiome of Arabian Sea sediments"
"water","The Landscape of Global Ocean Microbiome: From Bacterioplankton to Biofilms"
"water","Size-fractionated microbiome observed during an eight-month long sampling in Jiaozhou Bay and the Yellow Sea"
"water","Microbial colonization and persistence in deep fractured shales is guided by metabolic exchanges and viral predation"
"water","Microbial diversity of the hypersaline and lithium-rich Salar de Uyuni, Bolivia"
"water","A novel thermostable and halophilic thioredoxin reductase from the Red Sea Atlantis II hot brine pool"
"plant","Nitrogen Fertilizer Application Alters the Root Endophyte Bacterial Microbiome in Maize Plants, but Not in the Stem or Rhizosphere Soil"
"plant","Integrated multi-omic analysis of host-microbiota interactions in acute oak decline"
