latitude,longitude,place_name
36.06,140.17,"National Highway Route 354, 永国台, Tsuchiura, Ibaraki Prefecture, 300-0849, Japan"
44.337,143.380833,"オホーツクタワー, Monbetsu Port Line, 港町六丁目, Mombetsu, Hokkaido Prefecture, 094-0005, Japan"
36.21,140.1,"Tsukuba-michi Road, Tsukuba, Ibaraki Prefecture, 300-4231, Japan"
35.862263,139.609454,"Saitama University, Saitama-Konosu Line, Sakawa 6-chome, Sakura Ward, Saitama, Saitama Prefecture, 338-0835, Japan"
35.663718,139.634653,"日本大学文理学部, 下高井戸道, Sakurajosui 3-chome, Setagaya, Tokyo, 156-0045, Japan"
35.683714,139.4829,"東京農工大学, 国分寺街道, Kotobukicho 1-chome, Fuchu, Tokyo, 183-0057, Japan"
35.047217,135.767117,"京都府立大学 下鴨キャンパス, くすのき並木, Kamoimaicho, Sakyo Ward, Kyoto, Kyoto Prefecture, 606-0823, Japan"
40.1139,-88.2267,"West Stoughton Street, Urbana, Champaign County, Illinois, 61801, United States"
35.5,140.3,"神房, Oamishirasato, Chiba Prefecture, 299-3234, Japan"
35.5,140.4,"Oamishirasato, Chiba Prefecture, 299-3202, Japan"
29.53,121.52,"Fenghua District, Ningbo, Zhejiang, China"
-8.75,31.1,"Mpulungu, Mpulungu District, Northern Province, Zambia"
33.56,137.19,
39.1,117.1,"外环西路, 西营门街道, 中北镇, Xiqing District, Tianjin, 300084, China"
-2.19,10.57,"Ngounié Province, Gabon"
-2.19,10.34,"Ogooué-Maritime Province, Gabon"
34.823,92.933,"Qinghai-Tibet Highway, Zokya, Zhidoi County, Yushu, Qinghai, China"
35.16,139.61,"216, Miura, Kanagawa Prefecture, 238-0298, Japan"
37.4,127.4,"Gonjiam-eup, Gwangju-si, 12720, South Korea"
33.6,130.5,"大字植木, Sue, Kasuya County, Fukuoka Prefecture, 811-2221, Japan"
37.423109,138.778282,"Nagaoka University of Technology, 長岡西山線, 上富岡町, Nagaoka, Niigata Prefecture, Chubu Region, 940-2035, Japan"
52.0167,4.3667,"De Bieslandhof, Beukenlaan, Bomenwijk, Vrijenban, Delft, South Holland, Netherlands, 2612 XE, Netherlands"
0.0011,-115.0011,
0.0561,-115.0339,
-0.0025,-124.6583,
-0.0022,-121.0931,
-0.0028,-122.7261,
22.9989,178.7197,
22.9983,179.9983,
23.0017,177.8061,
11.5464,-146.5317,
8.4197,-147.0536,
11.9469,-146.9264,
14.0564,-151.8483,
10.8869,-149.1386,
-22.5206,-119.9997,
-19.9994,-120.0142,
-20.0006,-100.0008,
-20.0,-100.0017,
-15.01,-85.5983,
-15.4044,-86.7222,
-14.7542,-84.8781,
33.6,130.4,"Nanotsu-dori Avenue, Tsumashoji, Hakata Ward, Fukuoka, Fukuoka Prefecture, 810-0802, Japan"
35.9741,139.9922,"筒戸, Tsukubamirai, Ibaraki Prefecture, 302-0132, Japan"
25.83,131.23,"Zaisho, Minamidaito, Shimajiri, Okinawa Prefecture, Japan"
11.37,142.71,
