index,biome,search_term,search_url,article_link,title,abstract,confirmed_biome,title_lower,article_link_lower
2,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/32636252/,Deconstructing the Soil Microbiome into Reduced-Complexity Functional Modules,"The soil microbiome represents one of the most complex microbial communities on the planet, encompassing thousands of taxa and metabolic pathways, rendering holistic analyses computationally intensive and difficult. Here, we developed an alternative approach in which the complex soil microbiome was broken into components (""functional modules""), based on metabolic capacities, for individual characterization. We hypothesized that reproducible, low-complexity communities that represent functional modules could be obtained through targeted enrichments and that, in combination, they would encompass a large extent of the soil microbiome diversity. Enrichments were performed on a starting soil inoculum with defined media based on specific carbon substrates, antibiotics, alternative electron acceptors under anaerobic conditions, or alternative growing conditions reflective of common field stresses. The resultant communities were evaluated through 16S rRNA amplicon sequencing. Less permissive modules (anaerobic conditions, complex polysaccharides, and certain stresses) resulted in more distinct community profiles with higher richness and more variability between replicates, whereas modules with simple substrates were dominated by fewer species and were more reproducible. Collectively, approximately 27% of unique taxa present in the liquid soil extract control were found across functional modules. Taxa that were underrepresented or undetected in the source soil were also enriched across the modules. Metatranscriptomic analyses were carried out on a subset of the modules to investigate differences in functional gene expression. These results demonstrate that by dissecting the soil microbiome into discrete components it is possible to obtain a more comprehensive view of the soil microbiome and its biochemical potential than would be possible using more holistic analyses.IMPORTANCE The taxonomic and functional diversity inherent to the soil microbiome complicate assessments of the metabolic potential carried out by the community members. An alternative approach is to break down the soil microbiome into reduced-complexity subsets based on metabolic capacities (functional modules) prior to sequencing and analysis. Here, we demonstrate that this approach successfully identified specific phylogenetic and biochemical traits of the soil microbiome that otherwise remained hidden from a more top-down analysis.",soil,,
3,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/35366565/,The influence of Bt cotton cultivation on the structure and functions of the soil bacterial community by soil metagenomics,"Bt cotton successfully controlled major devastating pests in cotton，such as Helicoverpa armigera and Spodoptera exigua, and led to a drastic decrease in insecticide use in cotton fields, and it has been grown commercially worldwide. However, Bt cotton cultivation left Bt toxin residues in the soil, resulting in a response by its microbiome that caused potential environmental risks. In this research, the metagenomics analysis was performed to investigate the structure and functions of the soil bacterial community in the Bt cotton field from the Binzhou, Shandong province of China, where the Bt cotton has been cultivated for over fifteen years. Analysis of the function genes proved that the receptors of Bt toxins were absent in the soil bacteria and Bt toxins failed to target the soil bacteria. The microbiome structure and function were highly influenced by Bt cotton cultivation, however, no significant change in the total abundance of the bacteria was observed. Proteobacteria was the largest taxonomic group in the soil bacterial (42-52%) and its abundance was significantly increased after Bt cotton cultivation. The increase of Proteobacteria abundance resulted in an increase in ABC transporters gene abundance, indicating the improved ability of detoxification metabolism over Bt cotton cultivation. Xanthomonadales could be a biomarker of the Bt cotton group, whose abundance was significantly increased to contribute to the increase of the genes abundance in ABC transporters. The abundance of apoptosis genes was significantly decreased, and it might be related to the increase of Proteobacteria abundance by Bt cotton cultivation. In addition, Myxococcales was responsible for carotenoid biosynthesis, whoes genes abundance was significantly decreased due to the decrease of Myxococcales abundance by Bt cotton cultivation. These changes in soil bacterial community structure and functions indicate the influence by Bt cotton cultivation, leading to an understanding of the bacteria colonization patterns due to successive years of Bt cotton cultivation. These research results should be significant for the rational risk assessment of Bt cotton cultivation.",soil,,
4,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/35112151/,Unboxing the black box-one step forward to understand the soil microbiome: A systematic review,"Soil is one of the most important assets of the planet Earth, responsible for maintaining the biodiversity and managing the ecosystem services for both managed and natural ecosystems. It encompasses large proportion of microscopic biodiversity, including prokaryotes and the microscopic eukaryotes. Soil microbiome is critical in managing the soil functions, but their activities have diminutive recognition in few systems like desert land and forest ecosystems. Soil microbiome is highly dependent on abiotic and biotic factors like pH, carbon content, soil structure, texture, and vegetation, but it can notably vary with ecosystems and the respective inhabitants. Thus, unboxing this black box is essential to comprehend the basic components adding to the soil systems and supported ecosystem services. Recent advancements in the field of molecular microbial ecology have delivered commanding tools to examine this genetic trove of soil biodiversity. Objective of this review is to provide a critical evaluation of the work on the soil microbiome, especially since the advent of the NGS techniques. The review also focuses on advances in our understanding of soil communities, their interactions, and functional capabilities along with understanding their role in maneuvering the biogeochemical cycle while underlining and tapping the unprecedented metagenomics data to infer the ecological attributes of yet undiscovered soil microbiome. This review focuses key research directions that could shape the future of basic and applied research into the soil microbiome. This review has led us to understand that it is difficult to generalize that soil microbiome plays a substantiated role in shaping the soil networks and it is indeed a vital resource for sustaining the ecosystem functioning. Exploring soil microbiome will help in unlocking their roles in various soil network. It could be resourceful in exploring and forecasting its impacts on soil systems and for dealing with alleviating problems like rapid climate change.",soil,,
6,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/33736375/,Targeted metagenomics reveals inferior resilience of farm soil resistome compared to soil microbiome after manure application,"Application of animal manure to soils results in the introduction of manure-derived bacteria and their antimicrobial resistance genes (ARGs) into soils. ResCap is a novel targeted-metagenomic approach that allows the detection of minority components of the resistome gene pool without the cost-prohibitive coverage depths and can provide a valuable tool to study the spread of antimicrobial resistance (AMR) in the environment. We used high-throughput sequencing and qPCR for 16S rRNA gene fragments as well as ResCap to explore the dynamics of bacteria, and ARGs introduced to soils and adjacent water ditches, both at community and individual scale, over a period of three weeks. The soil bacteriome and resistome showed strong resilience to the input of manure, as manuring did not impact the overall structure of the bacteriome, and its effects on the resistome were transient. Initially, manure application resulted in a substantial increase of ARGs in soils and adjacent waters, while not affecting the overall bacterial community composition. Still, specific families increased after manure application, either through the input of manure (e.g., Dysgonomonadaceae) or through enrichment after manuring (e.g., Pseudomonadaceae). Depending on the type of ARG, manure application resulted mostly in an increase (e.g., aph(6)-Id), but occasionally also in a decrease (e.g., dfrB3) of the absolute abundance of ARG clusters (FPKM/kg or L). This study shows that the structures of the bacteriome and resistome are shaped by different factors, where the bacterial community composition could not explain the changes in ARG diversity or abundances. Also, it highlights the potential of applying targeted metagenomic techniques, such as ResCap, to study the fate of AMR in the environment.",soil,,
8,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/36632439/,Data on the temporal changes in soil properties and microbiome composition after a jet-fuel contamination during the pot and field experiments,"The soil response to a jet-fuel contamination is uncertain. In this article, original data on the influence of a jet-fuel spillage on the topsoil properties are presented. The data set is obtained during a one-year long pot and field experiments with Dystric Arenosols, Fibric Histosols and Albic Luvisols. Kerosene loads were 1, 5, 10, 25 and 100 g/kg. The data set includes information about temporal changes in kerosene concentration; physicochemical properties, such as рН, moisture, cation exchange capacity, content of soil organic matter, available P and K, exchangeable NH4 +, and water-soluble NO3 -; and biological properties, such as biological consumption of oxygen, and cellulolytic activity. Also, we provide sequencing data on variable regions of 16S ribosomal RNA of microbial communities from the respective soil samples.",soil,,
10,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/33975936/,Manure Microbial Communities and Resistance Profiles Reconfigure after Transition to Manure Pits and Differ from Those in Fertilized Field Soil,"In agricultural settings, microbes and antimicrobial resistance genes (ARGs) have the potential to be transferred across diverse environments and ecosystems. The consequences of these microbial transfers are unclear and understudied. On dairy farms, the storage of cow manure in manure pits and subsequent application to field soil as a fertilizer may facilitate the spread of the mammalian gut microbiome and its associated ARGs to the environment. To determine the extent of both taxonomic and resistance similarity during these transitions, we collected fresh manure, manure from pits, and field soil across 15 different dairy farms for three consecutive seasons. We used a combination of shotgun metagenomic sequencing and functional metagenomics to quantitatively interrogate taxonomic and ARG compositional variation on farms. We found that as the microbiome transitions from fresh dairy cow manure to manure pits, microbial taxonomic compositions and resistance profiles experience distinct restructuring, including decreases in alpha diversity and shifts in specific ARG abundances that potentially correspond to fresh manure going from a gut-structured community to an environment-structured community. Further, we did not find evidence of shared microbial community or a transfer of ARGs between manure and field soil microbiomes. Our results suggest that fresh manure experiences a compositional change in manure pits during storage and that the storage of manure in manure pits does not result in a depletion of ARGs. We did not find evidence of taxonomic or ARG restructuring of soil microbiota with the application of manure to field soils, as soil communities remained resilient to manure-induced perturbation.IMPORTANCE The addition of dairy cow manure-stored in manure pits-to field soil has the potential to introduce not only organic nutrients but also mammalian microbial communities and antimicrobial resistance genes (ARGs) to soil communities. Using shotgun sequencing paired with functional metagenomics, we showed that microbial community composition changed between fresh manure and manure pit samples with a decrease in gut-associated pathobionts, while ARG abundance and diversity remained high. However, field soil communities were distinct from those in manure in both microbial taxonomic and ARG composition. These results broaden our understanding of the transfer of microbial communities in agricultural settings and suggest that field soil microbial communities are resilient against the deposition of ARGs or microbial communities from manure.",soil,,
11,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/23257911/,Metagenomic analysis of the rhizosphere soil microbiome with respect to phytic acid utilization,"While phytic acid is a major form of organic phosphate in many soils, plant utilization of phytic acid is normally limited; however, culture trials of Lotus japonicus using experimental field soil that had been managed without phosphate fertilizer for over 90 years showed significant usage of phytic acid applied to soil for growth and flowering and differences in the degree of growth, even in the same culture pot. To understand the key metabolic processes involved in soil phytic acid utilization, we analyzed rhizosphere soil microbial communities using molecular ecological approaches. Although molecular fingerprint analysis revealed changes in the rhizosphere soil microbial communities from bulk soil microbial community, no clear relationship between the microbiome composition and flowering status that might be related to phytic acid utilization of L. japonicus could be determined. However, metagenomic analysis revealed changes in the relative abundance of the classes Bacteroidetes, Betaproteobacteria, Chlorobi, Dehalococcoidetes and Methanobacteria, which include strains that potentially promote plant growth and phytic acid utilization, and some gene clusters relating to phytic acid utilization, such as alkaline phosphatase and citrate synthase, with the phytic acid utilization status of the plant. This study highlights phylogenetic and metabolic features of the microbial community of the L. japonicus rhizosphere and provides a basic understanding of how rhizosphere microbial communities affect the phytic acid status in soil.",soil,,
12,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/35207510/,The Influence of Kerosene on Microbiomes of Diverse Soils,"One of the most important challenges for soil science is to determine the limits for the sustainable functioning of contaminated ecosystems. The response of soil microbiomes to kerosene pollution is still poorly understood. Here, we model the impact of kerosene leakage on the composition of the topsoil microbiome in pot and field experiments with different loads of added kerosene (loads up to 100 g/kg; retention time up to 360 days). At four time points we measured kerosene concentration and sequenced variable regions of 16S ribosomal RNA in the microbial communities. Mainly alkaline Dystric Arenosols with low content of available phosphorus and soil organic matter had an increased fraction of Actinobacteriota, Firmicutes, Nitrospirota, Planctomycetota, and, to a lesser extent, Acidobacteriota and Verrucomicobacteriota. In contrast, in highly acidic Fibric Histosols, rich in soil organic matter and available phosphorus, the fraction of Acidobacteriota was higher, while the fraction of Actinobacteriota was lower. Albic Luvisols occupied an intermediate position in terms of both physicochemical properties and microbiome composition. The microbiomes of different soils show similar response to equal kerosene loads. In highly contaminated soils, the proportion of anaerobic bacteria-metabolizing hydrocarbons increased, whereas the proportion of aerobic bacteria decreased. During the field experiment, the soil microbiome recovered much faster than in the pot experiments, possibly due to migration of microorganisms from the polluted area. The microbial community of Fibric Histosols recovered in 6 months after kerosene had been loaded, while microbiomes of Dystric Arenosols and Albic Luvisols did not restore even after a year.",soil,,
14,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/31163637/,Effect of Long-Term Farming Practices on Agricultural Soil Microbiome Members Represented by Metagenomically Assembled Genomes (MAGs) and Their Predicted Plant-Beneficial Genes,"To follow the hypothesis that agricultural management practices affect structure and function of the soil microbiome regarding soil health and plant-beneficial traits, high-throughput (HT) metagenome analyses were performed on Chernozem soil samples from a long-term field experiment designated LTE-1 carried out at Bernburg-Strenzfeld (Saxony-Anhalt, Germany). Metagenomic DNA was extracted from soil samples representing the following treatments: (i) plough tillage with standard nitrogen fertilization and use of fungicides and growth regulators, (ii) plough tillage with reduced nitrogen fertilization (50%), (iii) cultivator tillage with standard nitrogen fertilization and use of fungicides and growth regulators, and (iv) cultivator tillage with reduced nitrogen fertilization (50%). Bulk soil (BS), as well as root-affected soil (RS), were considered for all treatments in replicates. HT-sequencing of metagenomic DNA yielded approx. 100 Giga bases (Gb) of sequence information. Taxonomic profiling of soil communities revealed the presence of 70 phyla, whereby Proteobacteria, Actinobacteria, Bacteroidetes, Planctomycetes, Acidobacteria, Thaumarchaeota, Firmicutes, Verrucomicrobia and Chloroflexi feature abundances of more than 1%. Functional microbiome profiling uncovered, i.a., numerous potential plant-beneficial, plant-growth-promoting and biocontrol traits predicted to be involved in nutrient provision, phytohormone synthesis, antagonism against pathogens and signal molecule synthesis relevant in microbe-plant interaction. Neither taxonomic nor functional microbiome profiling based on single-read analyses revealed pronounced differences regarding the farming practices applied. Soil metagenome sequences were assembled and taxonomically binned. The ten most reliable and abundant Metagenomically Assembled Genomes (MAGs) were taxonomically classified and metabolically reconstructed. Importance of the phylum Thaumarchaeota for the analyzed microbiome is corroborated by the fact that the four corresponding MAGs were predicted to oxidize ammonia (nitrification), thus contributing to the cycling of nitrogen, and in addition are most probably able to fix carbon dioxide. Moreover, Thaumarchaeota and several bacterial MAGs also possess genes with predicted functions in plant-growth-promotion. Abundances of certain MAGs (species resolution level) responded to the tillage practice, whereas the factors compartment (BS vs. RS) and nitrogen fertilization only marginally shaped MAG abundance profiles. Hence, soil management regimes promoting plant-beneficial microbiome members are very likely advantageous for the respective agrosystem, its health and carbon sequestration and accordingly may enhance plant productivity. Since Chernozem soils are highly fertile, corresponding microbiome data represent a valuable reference resource for agronomy in general.",soil,,
15,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/34996363/,Metagenomic analysis of rhizosphere microbiome provides insights into occurrence of iron deficiency chlorosis in field of Asian pears,"Background:
        
      
      Fe-deficiency chlorosis (FDC) of Asian pear plants is widespread, but little is known about the association between the microbial communities in the rhizosphere soil and leaf chlorosis. The leaf mineral concentration, leaf subcellular structure, soil physiochemical properties, and bacterial species community and distribution had been analysed to gain insights into the FDC in Asian pear plant.
    


          Results:
        
      
      The total Fe in leaves with Fe-deficiency was positively correlated with total K, Mg, S, Cu, Zn, Mo and Cl contents, but no differences of available Fe (AFe) were detected between the rhizosphere soil of chlorotic and normal plants. Degraded ribosomes and degraded thylakloid stacks in chloroplast were observed in chlorotic leaves. The annotated microbiome indicated that there were 5 kingdoms, 52 phyla, 94 classes, 206 orders, 404 families, 1,161 genera, and 3,043 species in the rhizosphere soil of chlorotic plants; it was one phylum less and one order, 11 families, 59 genera, and 313 species more than in that of normal plant. Bacterial community and distribution patterns in the rhizosphere soil of chlorotic plants were distinct from those of normal plants and the relative abundance and microbiome diversity were more stable in the rhizosphere soils of normal than in chlorotic plants. Three (Nitrospira defluvii, Gemmatirosa kalamazoonesis, and Sulfuricella denitrificans) of the top five species (N. defluvii, G. kalamazoonesis, S. denitrificans, Candidatus Nitrosoarchaeum koreensis, and Candidatus Koribacter versatilis). were the identical and aerobic in both rhizosphere soils, but their relative abundance decreased by 48, 37, and 22%, respectively, and two of them (G. aurantiaca and Ca. S. usitatus) were substituted by an ammonia-oxidizing soil archaeon, Ca. N. koreensis and a nitrite and nitrate reduction related species, Ca. K. versatilis in that of chlorotic plants, which indicated the adverse soil aeration in the rhizosphere soil of chlorotic plants. A water-impermeable tables was found to reduce the soil aeration, inhibit root growth, and cause some absorption root death from infection by Fusarium solani.
    


          Conclusions:
        
      
      It was waterlogging or/and poor drainage of the soil may inhibit Fe uptake not the amounts of AFe in the rhizosphere soil of chlorotic plants that caused FDC in this study.",soil,,
17,soil,field,https://pubmed.ncbi.nlm.nih.gov/?term=field+soil+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/31890785/,Soil microbiome dataset from Guanica dry forest in Puerto Rico generated by shotgun sequencing,"Guanica dry forest (GDF), located in the southwest area or region of Puerto Rico, is among the most preserved subtropical dry forests in the world [1]. To describe the taxonomic diversity and functional profiles of this environment, metagenomic DNA was extracted from a metagenomic library generated from the GDF. The DNA was shotgun-sequenced using Illumina and analyzed using the MG-RAST server. The diversity profile revealed that the most abundant domain was Bacteria (97.8%) followed by Archaea (1.12%), Eukaryota (1.02%) and Viruses (0.03%). Out of the 50 phyla present, the most abundant was Proteobacteria (41.6%) followed by Actinobacteria (18.7%) and Acidobacteria (7.06%). Moreover, a total of 213 orders, 384 families and 791 genus were identified. The functional profile showed abundance of genes related to Carbohydrates (13.16%), Clustering-based subsystems (13.0%), Amino Acids and Derivatives (9.9%) and Protein Metabolism (8.24%). Furthermore, more specific grouping showed that NULL (21.5%) was the most abundant function group, followed by Plant-Prokaryote DOE project (6.05%), Protein biosynthesis (4.82%), Central carbohydrate metabolism (3.98%), DNA repair (2.72%) and Resistance to antibiotics and toxic compounds (2.66%). This dataset is useful in bioprospecting studies with application in biomedical sciences, biotechnology and microbial, population and applied ecology fields.",soil,,
