index,biome,search_term,search_url,article_link,title,abstract,confirmed_biome,title_lower,article_link_lower
0,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/24336217/,Diet rapidly and reproducibly alters the human gut microbiome,"Long-term dietary intake influences the structure and activity of the trillions of microorganisms residing in the human gut, but it remains unclear",animal,,
5,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/31160269/,The gut microbiome and epilepsy,"Recently, evidence from both animal studies and human cases has emerged that a dysbiosis in the gut may be associated with certain",animal,,
14,animal,cattle,https://pubmed.ncbi.nlm.nih.gov/?term=cattle+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/31219789/,Bovine Genome-Microbiome Interactions: Metagenomic Frontier for the Selection of Efficient Productivity in Cattle Systems,"The mutualistic, commensal, and parasitic microorganisms that reside in the rumen and lower gastrointestinal tract of cattle and other ruminants exert enormous",animal,,https://pubmed.ncbi.nlm.nih.gov/31219789/
13,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/33811041/,Long-term dietary patterns are associated with pro-inflammatory and anti-inflammatory features of the gut microbiome,"Objective: The microbiome directly affects the balance of pro-inflammatory and anti-inflammatory responses in the gut. As microbes thrive on dietary substrates, the",animal,,
25,animal,bat,https://pubmed.ncbi.nlm.nih.gov/?term=bat+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/36016275/,Characterization of Pipistrellus pygmaeus Bat Virome from Sweden,"Increasing amounts of data indicate that bats harbor a higher viral diversity relative to other mammalian orders, and they have been recognized",animal,,https://pubmed.ncbi.nlm.nih.gov/36016275/
33,animal,bat,https://pubmed.ncbi.nlm.nih.gov/?term=bat+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/32824037/,Viral Metagenomic Profiling of Croatian Bat Population Reveals Sample and Habitat Dependent Diversity,"To date, the microbiome, as well as the virome of the Croatian populations of bats, was unknown. Here, we present the results",animal,,https://pubmed.ncbi.nlm.nih.gov/32824037/
38,animal,bat,https://pubmed.ncbi.nlm.nih.gov/?term=bat+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/31819139/,First identification of mammalian orthoreovirus type 3 by gut virome analysis in diarrheic child in Brazil,Diarrhea remains one of the most common causes of deaths in children. Although many studies have investigated the prevalence of enteric pathogens,animal,,https://pubmed.ncbi.nlm.nih.gov/31819139/
4,animal,cattle,https://pubmed.ncbi.nlm.nih.gov/?term=cattle+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/35222847/,ADDAGMA: A database for domestic animal gut microbiome atlas,"Animal gut microbiomes play important roles in the health, diseases, and production of animal hosts. The volume of animal gut metagenomic data,",animal,,https://pubmed.ncbi.nlm.nih.gov/35222847/
27,animal,bat,https://pubmed.ncbi.nlm.nih.gov/?term=bat+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/31154984/,Is there convergence of gut microbes in blood-feeding vertebrates?,"Animal microbiomes play an important role in dietary adaptation, yet the extent to which microbiome changes exhibit parallel evolution is unclear. Of",animal,,https://pubmed.ncbi.nlm.nih.gov/31154984/
12,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/34951957/,Reuterin in the healthy gut microbiome suppresses colorectal cancer growth through altering redox balance,"Microbial dysbiosis is a colorectal cancer (CRC) hallmark and contributes to inflammation, tumor growth, and therapy response. Gut microbes signal via metabolites,",animal,,
29,animal,bat,https://pubmed.ncbi.nlm.nih.gov/?term=bat+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/32942563/,Novel Circoviruses Detected in Feces of Sonoran Felids,Sonoran felids are threatened by drought and habitat fragmentation. Vector range expansion and anthropogenic factors such as habitat encroachment and climate change,animal,,https://pubmed.ncbi.nlm.nih.gov/32942563/
3,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/34111395/,Organoids and organs-on-chips: Insights into human gut-microbe interactions,The important and diverse roles of the gut microbiota in human health and disease are increasingly recognized. The difficulty of inferring causation,animal,,
16,animal,cattle,https://pubmed.ncbi.nlm.nih.gov/?term=cattle+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/24180266/,Metagenomics of rumen bacteriophage from thirteen lactating dairy cattle,"Background: The bovine rumen hosts a diverse and complex community of Eukarya, Bacteria, Archea and viruses (including bacteriophage). The rumen viral population",animal,,https://pubmed.ncbi.nlm.nih.gov/24180266/
11,animal,cattle,https://pubmed.ncbi.nlm.nih.gov/?term=cattle+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/21378055/,Community structures of fecal bacteria in cattle from different animal feeding operations,"The fecal microbiome of cattle plays a critical role not only in animal health and productivity but also in food safety, pathogen",animal,,https://pubmed.ncbi.nlm.nih.gov/21378055/
8,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/31661299/,Methods in Lung Microbiome Research,The lung microbiome is associated with host immune response and health outcomes in experimental models and patient cohorts. Lung microbiome research is,animal,,
17,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=2,https://pubmed.ncbi.nlm.nih.gov/33182758/,Can Gut Microbiota Affect Dry Eye Syndrome?,"Using metagenomics, continuing evidence has elicited how intestinal microbiota trigger distant autoimmunity. Sjögren's syndrome (SS) is an autoimmune disease that affects the",animal,,
6,animal,human,https://pubmed.ncbi.nlm.nih.gov/?term=human+animal+microbiome+metagenomics&filter=simsearch2.ffrft&size=10&page=1,https://pubmed.ncbi.nlm.nih.gov/32075887/,Mediterranean diet intervention in overweight and obese subjects lowers plasma cholesterol and causes changes in the gut microbiome and metabolome independently of energy intake,"Objectives: This study aimed to explore the effects of an isocaloric Mediterranean diet (MD) intervention on metabolic health, gut microbiome and systemic",animal,,
