Agreement biome (exact match),biome_exact_match_mean,biome_exact_match_sd,Agreement biome (lenient match),biome_lenient_match_mean,biome_lenient_match_sd,sample_size,Filename,Average Similarity,Median Similarity,Standard Deviation,subbiome_sample_size,95th Percentile,MWU Statistic,MWU P-value,Label
"79.76%
(n=499)",79.76,40.0,"79.76%
(n=499)",79.76,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202407191713.txt,0.51,0.48,0.24,424.0,[0.31 0.48 0.67],154501.5,0.0,chunk_no
"78.76%
(n=499)",78.76,41.0,"79.16%
(n=499)",79.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API117_normal_dt202407191720.txt,0.52,0.49,0.24,480.0,[0.32 0.49 0.69],203065.5,0.0,chunk_size2000
"78.2%
(n=500)",78.2,41.0,"79.8%
(n=500)",79.8,40.0,500.0,gpt_clean_output_nspb100_chunkingyes_chunksize3000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API78_normal_dt202407191729.txt,0.51,0.49,0.24,476.0,[0.32 0.49 0.66],195015.0,0.0,chunk_size3000
"77.2%
(n=500)",77.2,42.0,"79.8%
(n=500)",79.8,40.0,500.0,gpt_clean_output_nspb100_chunkingyes_chunksize4000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API61_normal_dt202407191736.txt,0.48,0.47,0.24,470.0,[0.27 0.47 0.64],187011.5,0.0,chunk_size4000
"73.85%
(n=501)",73.85,44.0,"76.65%
(n=501)",76.65,42.0,501.0,gpt_clean_output_nspb100_chunkingyes_chunksize5000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API51_normal_dt202407191744.txt,0.46,0.45,0.22,445.0,[0.28 0.45 0.61],167713.5,0.0,chunk_size5000
"72.15%
(n=492)",72.15,45.0,"76.42%
(n=492)",76.42,42.0,492.0,gpt_clean_output_nspb100_chunkingyes_chunksize6000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API47_normal_dt202410151045.txt,0.44,0.44,0.21,442.0,[0.25 0.44 0.61],162178.5,0.0,chunk_size6000
,,,,,,,,,,,,,,,
"78.4%
(n=250)",78.4,41.0,"78.4%
(n=250)",78.4,41.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API57_normal_dt202407241530.txt,0.48,0.47,0.24,222.0,[0.27 0.47 0.67],41124.5,0.0,gpt3.5-turbo-0125
"77.6%
(n=250)",77.6,42.0,"77.6%
(n=250)",77.6,42.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-3.5-turbo-0125_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API58_repeat_dt202407241553.txt,0.5,0.48,0.24,241.0,[0.3  0.48 0.66],49539.5,0.0,gpt3.5-turbo-0125_rep
"82.4%
(n=250)",82.4,38.0,"82.4%
(n=250)",82.4,38.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API60_normal_dt202407241527.txt,0.5,0.48,0.23,234.0,[0.32 0.48 0.67],48143.0,0.0,gpt3.5-turbo-1106
"81.6%
(n=250)",81.6,39.0,"81.6%
(n=250)",81.6,39.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API58_repeat_dt202407241550.txt,0.53,0.51,0.24,238.0,[0.34 0.51 0.69],49731.5,0.0,gpt3.5-turbo-1106_rep
"79.6%
(n=250)",79.6,40.0,"80.4%
(n=250)",80.4,40.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-4-0613_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API58_normal_dt202407241543.txt,0.61,0.58,0.26,247.0,[0.39 0.58 0.81],55040.0,0.0,gpt4-0613
"80.8%
(n=250)",80.8,39.0,"81.6%
(n=250)",81.6,39.0,250.0,gpt_clean_output_nspb50_chunkingyes_chunksize2000_modelgpt-4-0613_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API57_repeat_dt202407241607.txt,0.62,0.62,0.26,248.0,[0.4  0.62 0.83],55973.5,0.0,gpt4-0613_rep
,,,,,,,,,,,,,,,
"77.76%
(n=499)",77.76,42.0,"77.76%
(n=499)",77.76,42.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp0.5_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API117_normal_dt202406051402.txt,0.5,0.49,0.25,460.0,[0.29 0.49 0.68],182488.0,0.0,sync_chunkY_temp0.5
"78.16%
(n=499)",78.16,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051326.txt,0.51,0.5,0.24,455.0,[0.31 0.5  0.69],178588.0,0.0,sync_chunkY_temp1.0
"76.35%
(n=499)",76.35,43.0,"76.55%
(n=499)",76.55,42.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.5_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051409.txt,0.5,0.48,0.23,466.0,[0.31 0.48 0.68],188452.5,0.0,sync_chunkY_temp1.5
"77.56%
(n=499)",77.56,42.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp2.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051415.txt,0.5,0.48,0.25,464.0,[0.29 0.48 0.66],183574.0,0.0,sync_chunkY_temp2.0
,,,,,,,,,,,,,,,
"80.16%
(n=499)",80.16,40.0,"80.16%
(n=499)",80.16,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp0.5_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_repeat_dt202406131455.txt,0.52,0.49,0.24,420.0,[0.31 0.49 0.69],154479.0,0.0,sync_chunkN_temp0.5
"78.76%
(n=499)",78.76,41.0,"78.76%
(n=499)",78.76,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202406051335.txt,0.52,0.5,0.25,434.0,[0.32 0.5  0.69],162240.0,0.0,sync_chunkN_temp1.0
"80.56%
(n=499)",80.56,40.0,"80.56%
(n=499)",80.56,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.5_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_repeat_dt202406131503.txt,0.51,0.48,0.24,432.0,[0.31 0.48 0.68],163787.0,0.0,sync_chunkN_temp1.5
